ID_GVA46|FILLER|ESTADO_VTO|FECHA_VTO|IMPORTE_VT|N_COMP|T_COMP|ESTADO_UNI|IMP_VT_UNI|IMP_VT_EXT|IM_VT_UN_E|ALTERNATIVA_1|IMPORTE_TOTAL_1|ALTERNATIVA_2|IMPORTE_TOTAL_2|AJUSTA_COBRO_FECHA_ALTERNATIVA|UNIDADES_TOTAL_1|UNIDADES_TOTAL_2
25||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000011|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
26||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000012|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
27||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000013|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
28||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000014|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
29||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000015|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
30||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000016|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
31||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000017|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
32||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000018|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
33||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000019|FAC|PEN|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
34||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000020|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
35||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000021|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
36||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000022|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
37||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000023|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
38||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000024|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
39||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000025|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
40||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000026|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
41||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000027|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
42||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000028|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
43||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000029|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
